,mstar,logt,logl_ls,logg,radius,feh,afe,age,u,g,r,i,z,J,H,Ks,Kp,IRAC1,IRAC2,KIC,KOI
146550,0.473,3.569,-1.483,4.841,0.4327,-0.3,0.0,0.2,13.35,10.52,9.142000000000001,8.419,8.01,6.745,6.144,5.931,8.916,5.879,5.809,5868793.0,4290
146596,0.4629,3.5669999999999997,-1.5090000000000001,4.849,0.424,-0.3,0.0,0.3,13.45,10.6,9.225,8.492,8.077,6.807,6.209,5.995,8.993,5.94,5.867999999999999,5868793.0,4290
146597,0.473,3.569,-1.483,4.841,0.4326,-0.3,0.0,0.3,13.35,10.52,9.142000000000001,8.42,8.011000000000001,6.746,6.145,5.932,8.917,5.881,5.811,5868793.0,4290
146644,0.4629,3.568,-1.51,4.849,0.4239,-0.3,0.0,0.4,13.45,10.6,9.225,8.492,8.078,6.809,6.209,5.995,8.993,5.941,5.87,5868793.0,4290
146645,0.473,3.569,-1.483,4.841,0.4326,-0.3,0.0,0.4,13.36,10.52,9.142000000000001,8.42,8.012,6.747000000000001,6.145,5.932,8.918,5.882000000000001,5.812,5868793.0,4290
146693,0.4629,3.568,-1.51,4.849,0.4239,-0.3,0.0,0.5,13.45,10.6,9.225,8.493,8.079,6.809,6.209,5.996,8.994,5.942,5.871,5868793.0,4290
146694,0.473,3.569,-1.484,4.841,0.4326,-0.3,0.0,0.5,13.36,10.52,9.142999999999999,8.42,8.013,6.747999999999999,6.145,5.933,8.918,5.882999999999999,5.814,5868793.0,4290
146742,0.4629,3.568,-1.51,4.849,0.424,-0.3,0.0,0.6,13.45,10.6,9.225,8.493,8.079,6.81,6.209,5.996,8.994,5.943,5.872000000000001,5868793.0,4290
146743,0.473,3.57,-1.4809999999999999,4.8389999999999995,0.4333,-0.3,0.0,0.6,13.34,10.51,9.134,8.414,8.008,6.744,6.142,5.928999999999999,8.91,5.88,5.811,5868793.0,4290
146792,0.4629,3.569,-1.505,4.846,0.4254,-0.3,0.0,0.7,13.42,10.58,9.206,8.479,8.068999999999999,6.801,6.2010000000000005,5.9879999999999995,8.976,5.935,5.865,5868793.0,4290
146842,0.4629,3.57,-1.5,4.843,0.427,-0.3,0.0,0.8,13.39,10.56,9.186,8.463,8.057,6.79,6.192,5.979,8.958,5.925,5.856,5868793.0,4290
146943,0.4528,3.57,-1.5119999999999998,4.841,0.4233,-0.3,0.0,1.0,13.43,10.59,9.209,8.493,8.092,6.8260000000000005,6.229,6.016,8.982000000000001,5.959,5.894,5868793.0,4290
146995,0.4528,3.57,-1.511,4.84,0.4236,-0.3,0.0,1.1,13.43,10.59,9.207,8.491,8.091000000000001,6.825,6.227,6.015,8.98,5.957000000000001,5.893,5868793.0,4290
147048,0.4528,3.57,-1.511,4.84,0.4239,-0.3,0.0,1.2,13.43,10.58,9.206,8.49,8.089,6.8229999999999995,6.226,6.013,8.979,5.956,5.891,5868793.0,4290
147100,0.4528,3.57,-1.51,4.8389999999999995,0.4242,-0.3,0.0,1.3,13.43,10.58,9.205,8.488999999999999,8.088,6.822,6.225,6.0120000000000005,8.979,5.954,5.89,5868793.0,4290
147152,0.4528,3.57,-1.51,4.838,0.4245,-0.3,0.0,1.4,13.43,10.58,9.204,8.488,8.087,6.821000000000001,6.223,6.011,8.977,5.952999999999999,5.888,5868793.0,4290
147205,0.4528,3.57,-1.5090000000000001,4.838,0.4248,-0.3,0.0,1.5,13.43,10.58,9.204,8.487,8.086,6.82,6.222,6.0089999999999995,8.977,5.9510000000000005,5.8870000000000005,5868793.0,4290
147258,0.4528,3.57,-1.5090000000000001,4.837,0.4251,-0.3,0.0,1.6,13.43,10.58,9.202,8.486,8.084,6.818,6.22,6.007999999999999,8.975,5.95,5.886,5868793.0,4290
147311,0.4528,3.57,-1.508,4.837,0.4253,-0.3,0.0,1.7,13.43,10.58,9.201,8.485,8.083,6.817,6.218999999999999,6.007000000000001,8.974,5.949,5.8839999999999995,5868793.0,4290
147363,0.4528,3.57,-1.508,4.836,0.4256,-0.3,0.0,1.8,13.42,10.58,9.2,8.482999999999999,8.082,6.816,6.218,6.005,8.972999999999999,5.947,5.882999999999999,5868793.0,4290
147416,0.4528,3.57,-1.507,4.836,0.4258,-0.3,0.0,1.9,13.42,10.58,9.199,8.482000000000001,8.081,6.815,6.2170000000000005,6.004,8.972000000000001,5.946000000000001,5.882000000000001,5868793.0,4290
147469,0.4528,3.57,-1.507,4.835,0.4261,-0.3,0.0,2.0,13.42,10.58,9.198,8.481,8.08,6.813,6.216,6.002999999999999,8.971,5.945,5.881,5868793.0,4290
