,mstar,logt,logl_ls,logg,radius,feh,afe,age,u,g,r,i,z,J,H,Ks,Kp,IRAC1,IRAC2,KIC,KOI
31706,0.4528,3.5789999999999997,-1.459,4.824,0.4316,-0.46,0.0,4.6,13.16,10.32,8.943,8.32,7.972,6.731,6.131,5.9239999999999995,8.774,5.87,5.814,,
31759,0.4528,3.5789999999999997,-1.459,4.824,0.4318,-0.46,0.0,4.7,13.16,10.32,8.942,8.318999999999999,7.971,6.73,6.13,5.922999999999999,8.772,5.869,5.814,,
31812,0.4528,3.58,-1.4580000000000002,4.823,0.4319,-0.46,0.0,4.8,13.16,10.32,8.94,8.318,7.97,6.73,6.129,5.922000000000001,8.771,5.867999999999999,5.813,,
31865,0.4528,3.58,-1.4580000000000002,4.823,0.4321,-0.46,0.0,4.9,13.16,10.32,8.939,8.317,7.968999999999999,6.729,6.127999999999999,5.921,8.77,5.867000000000001,5.812,,
31918,0.4528,3.58,-1.4569999999999999,4.823,0.4323,-0.46,0.0,5.0,13.16,10.32,8.939,8.316,7.968,6.728,6.127999999999999,5.92,8.77,5.8660000000000005,5.811,,
31971,0.4528,3.58,-1.4569999999999999,4.822,0.4324,-0.46,0.0,5.1,13.16,10.32,8.937999999999999,8.315,7.9670000000000005,6.727,6.127000000000001,5.919,8.769,5.8660000000000005,5.81,,
32024,0.4528,3.58,-1.4569999999999999,4.822,0.4326,-0.46,0.0,5.2,13.16,10.32,8.936,8.314,7.966,6.726,6.126,5.917999999999999,8.767000000000001,5.865,5.809,,
32077,0.4528,3.58,-1.456,4.822,0.4327,-0.46,0.0,5.3,13.15,10.31,8.935,8.312999999999999,7.965,6.725,6.125,5.917000000000001,8.766,5.864,5.809,,
32130,0.4528,3.58,-1.456,4.821000000000001,0.4329,-0.46,0.0,5.4,13.15,10.31,8.934,8.312000000000001,7.9639999999999995,6.724,6.124,5.916,8.765,5.8629999999999995,5.808,,
32183,0.4528,3.58,-1.456,4.821000000000001,0.433,-0.46,0.0,5.5,13.15,10.31,8.933,8.311,7.962999999999999,6.723,6.122999999999999,5.916,8.764,5.862,5.807,,
32235,0.4528,3.58,-1.455,4.821000000000001,0.4331,-0.46,0.0,5.6,13.15,10.31,8.932,8.31,7.962999999999999,6.723,6.122000000000001,5.915,8.763,5.861000000000001,5.806,,
32287,0.4528,3.58,-1.455,4.821000000000001,0.4333,-0.46,0.0,5.7,13.15,10.31,8.931000000000001,8.309,7.962000000000001,6.722,6.121,5.914,8.762,5.86,5.805,,
32339,0.4528,3.58,-1.455,4.82,0.4334,-0.46,0.0,5.8,13.15,10.31,8.93,8.308,7.961,6.721,6.12,5.912999999999999,8.761000000000001,5.86,5.805,,
32391,0.4528,3.58,-1.454,4.82,0.4336,-0.46,0.0,5.9,13.15,10.31,8.929,8.307,7.96,6.72,6.119,5.912000000000001,8.76,5.859,5.803999999999999,,
32444,0.4528,3.58,-1.454,4.82,0.4337,-0.46,0.0,6.0,13.15,10.31,8.927999999999999,8.306000000000001,7.959,6.718999999999999,6.119,5.9110000000000005,8.759,5.858,5.803,,
32497,0.4528,3.58,-1.453,4.819,0.4339,-0.46,0.0,6.1,13.15,10.31,8.927,8.306000000000001,7.957999999999999,6.718,6.117999999999999,5.91,8.758,5.857,5.8020000000000005,,
32550,0.4528,3.58,-1.453,4.819,0.434,-0.46,0.0,6.2,13.14,10.31,8.926,8.305,7.957000000000001,6.718,6.117000000000001,5.909,8.757,5.856,5.801,,
32603,0.4528,3.58,-1.453,4.819,0.4342,-0.46,0.0,6.3,13.14,10.3,8.925,8.304,7.956,6.7170000000000005,6.1160000000000005,5.909,8.757,5.855,5.801,,
