,mstar,logt,logl_ls,logg,radius,feh,afe,age,u,g,r,i,z,J,H,Ks,Kp,IRAC1,IRAC2,KIC,KOI
532159,0.1911,3.5060000000000002,-2.3569999999999998,5.053,0.2154,0.22,0.0,11.0,16.57,13.67,12.22,10.95,10.21,8.721,8.202,7.954,11.61,7.787000000000001,7.6610000000000005,,
532160,0.2011,3.5069999999999997,-2.315,5.039,0.2246,0.22,0.0,11.0,16.42,13.54,12.1,10.84,10.11,8.618,8.097999999999999,7.851,11.49,7.687,7.562,,
532209,0.1709,3.503,-2.449,5.084,0.1966,0.22,0.0,11.1,16.89,13.96,12.49,11.2,10.45,8.943,8.426,8.176,11.86,8.002,7.876,,
532210,0.181,3.5039999999999996,-2.4019999999999997,5.0680000000000005,0.2061,0.22,0.0,11.1,16.73,13.81,12.35,11.07,10.33,8.829,8.311,8.062000000000001,11.73,7.891,7.765,,
532211,0.1911,3.5060000000000002,-2.3569999999999998,5.053,0.2154,0.22,0.0,11.1,16.57,13.67,12.22,10.95,10.21,8.721,8.202,7.954,11.61,7.7860000000000005,7.6610000000000005,,
532212,0.2011,3.5069999999999997,-2.315,5.039,0.2247,0.22,0.0,11.1,16.42,13.54,12.1,10.84,10.11,8.618,8.097999999999999,7.851,11.49,7.687,7.561,,
532261,0.1709,3.503,-2.449,5.083,0.1967,0.22,0.0,11.2,16.89,13.96,12.49,11.2,10.45,8.942,8.425,8.175,11.86,8.001,7.875,,
532262,0.181,3.5039999999999996,-2.4019999999999997,5.0680000000000005,0.2061,0.22,0.0,11.2,16.73,13.81,12.35,11.07,10.33,8.829,8.311,8.062000000000001,11.73,7.891,7.765,,
532263,0.1911,3.5060000000000002,-2.3569999999999998,5.053,0.2154,0.22,0.0,11.2,16.57,13.67,12.22,10.95,10.21,8.72,8.201,7.952999999999999,11.6,7.7860000000000005,7.66,,
532264,0.2011,3.5069999999999997,-2.315,5.038,0.2247,0.22,0.0,11.2,16.42,13.54,12.1,10.84,10.1,8.618,8.097000000000001,7.851,11.49,7.687,7.561,,
532313,0.1709,3.503,-2.448,5.083,0.1968,0.22,0.0,11.3,16.89,13.95,12.49,11.2,10.44,8.941,8.424,8.173,11.86,8.0,7.872999999999999,,
532314,0.181,3.5039999999999996,-2.4019999999999997,5.067,0.2062,0.22,0.0,11.3,16.73,13.81,12.35,11.07,10.33,8.829,8.311,8.062000000000001,11.73,7.891,7.765,,
532315,0.1911,3.5060000000000002,-2.3569999999999998,5.052,0.2155,0.22,0.0,11.3,16.57,13.67,12.22,10.95,10.21,8.719,8.2,7.952000000000001,11.6,7.785,7.659,,
532316,0.2011,3.5069999999999997,-2.314,5.038,0.2248,0.22,0.0,11.3,16.42,13.54,12.1,10.84,10.1,8.617,8.097000000000001,7.85,11.49,7.686,7.56,,
532365,0.1709,3.503,-2.448,5.082,0.1969,0.22,0.0,11.4,16.89,13.95,12.49,11.2,10.44,8.939,8.422,8.172,11.85,7.997999999999999,7.872000000000001,,
532366,0.181,3.5039999999999996,-2.4019999999999997,5.067,0.2062,0.22,0.0,11.4,16.73,13.81,12.35,11.07,10.33,8.829,8.311,8.062000000000001,11.73,7.891,7.765,,
532367,0.1911,3.5060000000000002,-2.356,5.052,0.2156,0.22,0.0,11.4,16.57,13.67,12.22,10.95,10.21,8.718,8.199,7.9510000000000005,11.6,7.784,7.6579999999999995,,
532368,0.2011,3.5069999999999997,-2.314,5.038,0.2248,0.22,0.0,11.4,16.42,13.54,12.1,10.84,10.1,8.616,8.096,7.85,11.49,7.686,7.56,,
532417,0.1709,3.503,-2.448,5.082,0.1969,0.22,0.0,11.5,16.89,13.95,12.49,11.2,10.44,8.939,8.422,8.172,11.85,7.997999999999999,7.872000000000001,,
532418,0.181,3.5039999999999996,-2.4019999999999997,5.067,0.2062,0.22,0.0,11.5,16.73,13.81,12.35,11.07,10.33,8.828,8.31,8.061,11.73,7.891,7.763999999999999,,
532419,0.1911,3.5060000000000002,-2.356,5.052,0.2156,0.22,0.0,11.5,16.57,13.67,12.22,10.95,10.21,8.718,8.199,7.9510000000000005,11.6,7.784,7.6579999999999995,,
532420,0.2011,3.5069999999999997,-2.314,5.038,0.2249,0.22,0.0,11.5,16.42,13.54,12.1,10.84,10.1,8.616,8.096,7.849,11.49,7.685,7.559,,
532469,0.1709,3.503,-2.448,5.082,0.1969,0.22,0.0,11.6,16.89,13.95,12.49,11.2,10.44,8.94,8.423,8.173,11.85,7.999,7.872000000000001,,
532470,0.181,3.5039999999999996,-2.401,5.067,0.2062,0.22,0.0,11.6,16.73,13.81,12.35,11.07,10.33,8.828,8.31,8.061,11.73,7.89,7.763999999999999,,
532471,0.1911,3.5060000000000002,-2.356,5.052,0.2156,0.22,0.0,11.6,16.57,13.67,12.22,10.95,10.21,8.718,8.199,7.9510000000000005,11.6,7.784,7.6579999999999995,,
532472,0.2011,3.5069999999999997,-2.314,5.038,0.2249,0.22,0.0,11.6,16.42,13.54,12.09,10.84,10.1,8.615,8.095,7.849,11.49,7.684,7.559,,
532521,0.1709,3.503,-2.448,5.083,0.1969,0.22,0.0,11.7,16.89,13.95,12.49,11.2,10.44,8.94,8.423,8.173,11.85,7.999,7.872999999999999,,
