KOI KIC Teff ETeff eTeff Fe/H e_Fe/H M/H e_M/H SpType Mstar e_Mstar Rstar e_Rstar Dis Fe/H-T e_Fe/H-T Fe/H-M e_Fe/H-M M/H-M e_M/H-M
2058 10329835 3747 125 61 -0.00 0.16 -0.01 0.14 M1V 0.52 0.04 0.49 0.04 169 -0.06 0.13 -0.30 0.18 -0.35 0.20
571 8120608 3748 95 23 -0.34 0.13 -0.25 0.13 M1V 0.48 0.03 0.45 0.03 59 -0.20 0.11 -0.30 0.13 -0.30 0.13
3284 6497146 3748 49 110 +0.16 0.15 +0.11 0.14 M1V 0.55 0.04 0.52 0.04 147 +0.30 0.16 +0.39 0.20 +0.24 0.19
947 9710326 3753 56 80 -0.26 0.13 -0.19 0.13 M1V 0.49 0.04 0.47 0.04 93 -0.19 0.12 -0.40 0.13 -0.28 0.13
2156 2556650 3754 122 60 -0.26 0.16 -0.19 0.14 M1V 0.49 0.05 0.47 0.04 131 -0.07 0.12 -0.13 0.16 -0.15 0.18
2006 10525027 3756 87 78 +0.01 0.14 +0.01 0.13 M1V 0.52 0.04 0.49 0.04 114 -0.03 0.15 -0.02 0.17 -0.01 0.15
2036 6382217 3758 249 24 +0.19 0.15 +0.13 0.14 M1V 0.55 0.06 0.52 0.06 313 +0.28 0.15 +0.29 0.16 +0.13 0.17
253 11752906 3759 196 20 +0.49 0.14 +0.34 0.13 M1V 0.59 0.04 0.56 0.04 379 +0.39 0.14 +0.89 0.16 +0.71 0.16
2650 8890150 3765 127 53 +0.01 0.15 +0.00 0.13 M1V 0.52 0.04 0.50 0.04 189 +0.35 0.15 -0.00 0.16 -0.13 0.15
255 7021681 3780 74 77 -0.01 0.13 -0.01 0.13 M1V 0.53 0.04 0.51 0.04 127 +0.24 0.12 +0.17 0.14 +0.11 0.14
1078 10166274 3783 111 56 -0.34 0.14 -0.24 0.13 M1V 0.49 0.04 0.46 0.04 94 -0.35 0.13 -0.30 0.15 -0.16 0.15
254 5794240 3793 130 30 +0.32 0.13 +0.22 0.13 M1V 0.58 0.04 0.55 0.03 404 +0.27 0.11 +0.45 0.11 +0.35 0.13
2238 8229458 3809 126 81 -0.02 0.15 -0.02 0.13 M1V 0.54 0.04 0.51 0.04 131 +0.15 0.15 -0.05 0.20 +0.01 0.20
3010 3642335 3810 123 216 -0.03 0.23 -0.02 0.19 M1V 0.53 0.10 0.51 0.09 220 +0.07 0.17 +0.05 0.30 -0.04 0.36
251 10489206 3811 45 78 -0.06 0.12 -0.05 0.12 M1V 0.53 0.03 0.50 0.03 79 -0.01 0.13 -0.06 0.14 -0.13 0.14
4427 4172805 3813 314 39 -0.07 0.15 -0.05 0.14 M1V 0.53 0.07 0.50 0.07 104 +0.12 0.13 +0.01 0.22 +0.14 0.23
2347 8235924 3817 482 37 +0.24 0.15 +0.17 0.13 M1V 0.57 0.08 0.54 0.07 169 +0.30 0.14 +0.54 0.18 +0.33 0.17
1397 9427402 3822 178 71 -0.24 0.16 -0.17 0.14 M1V 0.52 0.06 0.49 0.06 130 +0.01 0.14 -0.30 0.18 -0.18 0.18
2329 11192235 3823 184 61 -0.28 0.15 -0.20 0.14 M1V 0.51 0.05 0.49 0.05 132 -0.09 0.14 +0.12 0.16 -0.12 0.17
1868 6773862 3828 171 64 -0.05 0.16 -0.04 0.14 M1V 0.55 0.06 0.52 0.05 194 +0.25 0.14 -0.05 0.17 -0.14 0.20
1879 8367644 3829 411 69 +0.31 0.15 +0.22 0.14 M1V 0.59 0.08 0.56 0.07 413 +0.53 0.12 +0.64 0.16 +0.37 0.19
2179 10670119 3834 142 82 +0.05 0.14 +0.03 0.13 M1V 0.56 0.05 0.53 0.05 226 +0.20 0.14 +0.41 0.15 +0.40 0.16
248 5364071 3838 117 66 -0.02 0.13 -0.01 0.12 M1V 0.55 0.04 0.52 0.04 206 -0.20 0.15 +0.15 0.12 +0.05 0.13
314 7603200 3847 39 60 -0.25 0.12 -0.18 0.12 M1V 0.52 0.03 0.49 0.03 20 -0.25 0.13 -0.22 0.12 -0.19 0.11
2306 6666233 3861 208 63 +0.08 0.15 +0.06 0.13 M0V 0.57 0.06 0.54 0.05 233 +0.32 0.13 +0.41 0.17 +0.25 0.18
2191 5601258 3870 95 91 +0.10 0.13 +0.07 0.13 M0V 0.57 0.04 0.54 0.04 190 +0.33 0.13 +0.44 0.13 +0.20 0.15
